TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.1G0039500	BdiBd21-3.3G0121300	Cluster_0	206	45	0.6011267229867777
BdiBd21-3.1G0039500	BdiBd21-3.1G0270300	Cluster_0	206	45	0.5884030003511344
BdiBd21-3.1G0039500	BdiBd21-3.1G0283600	Cluster_0	206	45	0.5751901287761385
BdiBd21-3.1G0039500	BdiBd21-3.1G0277200	Cluster_0	206	45	0.5679725346979132
BdiBd21-3.1G0039500	BdiBd21-3.2G0223100	Cluster_0	206	45	0.5634367815529591
BdiBd21-3.1G0039500	BdiBd21-3.3G0096700	Cluster_0	206	45	0.5565701278574647
BdiBd21-3.1G0039500	BdiBd21-3.1G0248400	Cluster_0	206	45	0.5557138686404028
BdiBd21-3.1G0039500	BdiBd21-3.1G0152400	Cluster_0	206	45	0.5496772231087981
BdiBd21-3.1G0039500	BdiBd21-3.1G0278500	Cluster_0	206	45	0.5439449348785297
BdiBd21-3.1G0039500	BdiBd21-3.3G0182400	Cluster_0	206	45	0.5433912400403499
BdiBd21-3.1G0039500	BdiBd21-3.1G0245000	Cluster_0	206	45	0.5363400735547781
BdiBd21-3.1G0039500	BdiBd21-3.3G0156600	Cluster_0	206	45	0.526868057604957
BdiBd21-3.1G0039500	BdiBd21-3.3G0080100	Cluster_0	206	45	0.5227165406461464
BdiBd21-3.1G0039500	BdiBd21-3.2G0137300	Cluster_0	206	45	0.5181585209354423
BdiBd21-3.1G0039500	BdiBd21-3.3G0245800	Cluster_0	206	45	0.5039249519794168
BdiBd21-3.1G0039500	BdiBd21-3.1G0128500	Cluster_0	206	45	0.5016433944361814
BdiBd21-3.1G0039500	BdiBd21-3.3G0003900	Cluster_0	206	45	0.4845996471005791
BdiBd21-3.1G0039500	BdiBd21-3.3G0181900	Cluster_0	206	45	0.4844831034269506
BdiBd21-3.1G0039500	BdiBd21-3.3G0255800	Cluster_0	206	45	0.47058554443172707
BdiBd21-3.1G0039500	BdiBd21-3.1G0035340	Cluster_0	206	45	0.4699515508169329
BdiBd21-3.1G0039500	BdiBd21-3.3G0186400	Cluster_0	206	45	0.4695444520564095
BdiBd21-3.1G0039500	BdiBd21-3.1G0130200	Cluster_0	206	45	0.462904189976301
BdiBd21-3.1G0039500	BdiBd21-3.3G0182500	Cluster_0	206	45	0.4613188005803564
BdiBd21-3.1G0039500	BdiBd21-3.3G0097300	Cluster_0	206	45	0.4582772451787565
BdiBd21-3.1G0039500	BdiBd21-3.1G0046900	Cluster_0	206	45	0.4557897698655028
BdiBd21-3.1G0039500	BdiBd21-3.3G0284200	Cluster_0	206	45	0.4477810489554772
BdiBd21-3.1G0039500	BdiBd21-3.2G0264400	Cluster_0	206	45	0.43932718036759655
BdiBd21-3.1G0039500	BdiBd21-3.2G0245200	Cluster_0	206	45	0.4374403371758252
BdiBd21-3.1G0039500	BdiBd21-3.1G0285200	Cluster_0	206	45	0.4374353436774728
BdiBd21-3.1G0039500	BdiBd21-3.1G0260400	Cluster_0	206	45	0.43029839025543415
BdiBd21-3.1G0039500	BdiBd21-3.1G0103000	Cluster_0	206	45	0.4279307704746064
BdiBd21-3.1G0039500	BdiBd21-3.1G0014200	Cluster_0	206	45	0.4242095353767196
BdiBd21-3.1G0039500	BdiBd21-3.2G0189400	Cluster_0	206	45	0.4235777014168303
BdiBd21-3.1G0039500	BdiBd21-3.1G0175400	Cluster_0	206	45	0.4190377687034715
BdiBd21-3.1G0039500	BdiBd21-3.3G0066800	Cluster_0	206	45	0.4181728578888171
BdiBd21-3.1G0039500	BdiBd21-3.2G0214000	Cluster_0	206	45	0.41788672731933535
BdiBd21-3.1G0039500	BdiBd21-3.1G0235500	Cluster_0	206	45	0.4110928471376056
BdiBd21-3.1G0039500	BdiBd21-3.3G0119400	Cluster_0	206	45	0.4094713098422867
BdiBd21-3.1G0039500	BdiBd21-3.2G0239000	Cluster_0	206	45	0.3991474573229827
BdiBd21-3.1G0039500	BdiBd21-3.1G0044600	Cluster_0	206	45	0.3917997045734367
BdiBd21-3.1G0039500	BdiBd21-3.2G0224000	Cluster_0	206	45	0.3906912678448631
BdiBd21-3.1G0039500	BdiBd21-3.1G0098000	Cluster_0	206	45	0.3895267147809404
